id,tip,prima,privatna,ime_četvrti,četvrt_površina,četvrt_broj_stanovnika,ime_reciklažnog_dvorišta,adresa_reciklažnog_dvorišta,geo_visina,geo_širina
1,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,None,None,45.812445738129384,15.895851429442905
2,zeleno zvono,staklo,False,Podsused - Vrapče,36.0,45759,None,None,45.81482748666708,15.898359123519928
3,plava kocka,papir,False,Podsused - Vrapče,36.0,45759,None,None,45.81482748666708,15.898359123519928
4,žuta kocka,plastika,False,Podsused - Vrapče,36.0,45759,None,None,45.81482748666708,15.898359123519928
5,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,None,None,45.819771257563694,15.889821488692705
6,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,None,None,45.815012080822804,15.89528178771937
7,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,None,None,45.81433340494386,15.905920576844299
8,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,None,None,45.81344926019273,15.906074020670552
9,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,None,None,45.81344926019273,15.906074020670552
10,zeleno zvono,staklo,False,Podsused - Vrapče,36.0,45759,None,None,45.815314573365406,15.894662206102602
11,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
12,gradska košara,komunalni,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
13,zeleno zvono,staklo,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
14,zeleno zvono,staklo,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
15,zeleno zvono,staklo,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
16,plava kocka,papir,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
17,plava kocka,papir,False,Podsused - Vrapče,36.0,45759,RD PODSUSED-VRAPČE,Kovinska 8a,45.810364255041925,15.853034187543082
